# k_step gamma S_color
18 1.299754e-02 -4.121611e-14
17 1.403005e-02 1.508884e-15
16 1.521706e-02 -5.810820e-16
15 1.659402e-02 -2.486442e-16
1000 6.765023e-05 1.252589e-01
100 1.357724e-03 9.968450e-02
65 2.385318e-03 1.011060e-01
50 3.364946e-03 9.381627e-02
40 4.512072e-03 7.854431e-02
30 6.594110e-03 6.819109e-02
26 7.968958e-03 5.016907e-02
23 9.376545e-03 3.866233e-02
20 1.129275e-02 1.118764e-02
18 1.299754e-02 -4.259867e-14
17 1.403005e-02 1.500329e-15
16 1.521706e-02 -5.785047e-16
15 1.659402e-02 -2.484592e-16
1000 6.765023e-05 1.253990e-01
100 1.357724e-03 1.051735e-01
65 2.385318e-03 9.766723e-02
50 3.364946e-03 8.961699e-02
40 4.512072e-03 7.654766e-02
30 6.594110e-03 6.149634e-02
26 7.968958e-03 5.481896e-02
23 9.376545e-03 3.617781e-02
20 1.129275e-02 1.151827e-02
18 1.299754e-02 -4.038710e-14
17 1.403005e-02 1.558889e-15
16 1.521706e-02 -5.747220e-16
15 1.659402e-02 -2.528467e-16
1000 6.765023e-05 1.283751e-01
100 1.357724e-03 1.009376e-01
65 2.385318e-03 8.778234e-02
50 3.364946e-03 9.232465e-02
40 4.512072e-03 7.759212e-02
30 6.594110e-03 6.640049e-02
26 7.968958e-03 5.238941e-02
23 9.376545e-03 3.616269e-02
20 1.129275e-02 1.128364e-02
18 1.299754e-02 -4.187104e-14
17 1.403005e-02 1.556720e-15
16 1.521706e-02 -5.633464e-16
15 1.659402e-02 -2.486580e-16
1000 6.765023e-05 1.177638e-01
100 1.357724e-03 1.046982e-01
65 2.385318e-03 9.379746e-02
50 3.364946e-03 8.252063e-02
40 4.512072e-03 8.998419e-02
30 6.594110e-03 6.263765e-02
26 7.968958e-03 5.131414e-02
23 9.376545e-03 3.885378e-02
20 1.129275e-02 1.125076e-02
18 1.299754e-02 -4.270513e-14
17 1.403005e-02 1.504462e-15
16 1.521706e-02 -5.582433e-16
15 1.659402e-02 -2.469348e-16
1000 6.765023e-05 1.263939e-01
100 1.357724e-03 1.021543e-01
65 2.385318e-03 1.006111e-01
50 3.364946e-03 9.134457e-02
40 4.512072e-03 8.539708e-02
30 6.594110e-03 6.886224e-02
26 7.968958e-03 5.305720e-02
23 9.376545e-03 3.583629e-02
20 1.129275e-02 1.064795e-02
18 1.299754e-02 -4.118630e-14
17 1.403005e-02 1.485479e-15
16 1.521706e-02 -5.620716e-16
15 1.659402e-02 -2.480614e-16
1000 6.765023e-05 1.296730e-01
100 1.357724e-03 1.044038e-01
65 2.385318e-03 1.021045e-01
50 3.364946e-03 8.546007e-02
40 4.512072e-03 8.390901e-02
30 6.594110e-03 6.928367e-02
26 7.968958e-03 5.428145e-02
23 9.376545e-03 3.764410e-02
20 1.129275e-02 1.107098e-02
18 1.299754e-02 -4.243864e-14
17 1.403005e-02 1.492761e-15
16 1.521706e-02 -5.610454e-16
15 1.659402e-02 -2.524156e-16
1000 6.765023e-05 1.149328e-01
100 1.357724e-03 1.069329e-01
65 2.385318e-03 1.060880e-01
50 3.364946e-03 8.618013e-02
40 4.512072e-03 8.262283e-02
30 6.594110e-03 6.411153e-02
