# k_av S_color
1.050000e+00 8.284260e-05
1.100000e+00 7.060580e-03
1.150000e+00 1.918667e-02
1.200000e+00 4.249230e-02
1.250000e+00 6.064162e-02
1.300000e+00 8.290471e-02
1.350000e+00 1.323450e-01
1.400000e+00 1.675905e-01
1.450000e+00 1.762331e-01
1.500000e+00 1.955419e-01
1.550000e+00 2.158046e-01
1.600000e+00 3.002648e-01
1.650000e+00 3.057683e-01
1.700000e+00 3.338226e-01
1.750000e+00 3.498421e-01
1.800000e+00 3.625501e-01
1.850000e+00 3.836160e-01
1.900000e+00 4.320483e-01
1.950000e+00 4.359706e-01
2.000000e+00 4.705088e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.307225e-04
1.100000e+00 5.606887e-03
1.150000e+00 1.995624e-02
1.200000e+00 3.156838e-02
1.250000e+00 6.664449e-02
1.300000e+00 9.242795e-02
1.350000e+00 1.035176e-01
1.400000e+00 1.271069e-01
1.450000e+00 1.855751e-01
1.500000e+00 1.903017e-01
1.550000e+00 2.381793e-01
1.600000e+00 2.706357e-01
1.650000e+00 3.008672e-01
1.700000e+00 3.099628e-01
1.750000e+00 3.771598e-01
1.800000e+00 3.596743e-01
